,personName,injury_date,Body_Part_Group,Injury_Reason_Group,Direction,injury_description,position_y,weight_lbs,height_inches,performance_metric_after,age_in_season,days_from_injury,foulsPersonal,plusMinusPoints,minutes_numeric,performance_metric_before,points,steals,assists,reboundsTotal,turnovers,fieldGoalsMade,fieldGoalsAttempted,freeThrowsMade,freeThrowsAttempted,threePointersMade,performance_pct,performance_change,injury_severity
23,Aaron Wiggins,2022-03-01,ankle_region,strain_sprain_tear,right,sprained right ankle,Guard,190.0,76.0,18.7,23.0,5,1.9,-5.3,23.45,11.1,6.2,0.4,0.8,3.3,0.6,2.4,5.7,0.7,0.9,0.7,0.6846846846846847,7.6,Minor (≤1 week)
24,Abdel Nader,2020-01-14,ankle_region,strain_sprain_tear,left,sprained left ankle,Forward,225.0,77.0,9.8,26.0,17,1.0,-2.2,13.3,6.2,4.2,0.2,1.1,1.2,0.8,1.7,4.2,0.5,0.6,0.3,0.5806451612903226,3.6000000000000005,Significant (2-4 weeks)
25,Abdel Nader,2020-12-22,head_region,impact_injury,unspecified,concussion,Forward,225.0,77.0,13.3,27.0,20,1.7,-3.1,16.365000000000002,11.9,7.8,0.4,0.6,1.9,0.9,3.0,6.0,0.5,0.6,1.3,0.11764705882352944,1.4000000000000004,Significant (2-4 weeks)
26,Abdel Nader,2021-02-01,ankle_region,injury,unspecified,ankle injury,Forward,225.0,77.0,10.3,27.0,2,1.9,0.2,19.256666666666668,15.5,9.1,0.6,1.1,3.2,1.1,3.4,6.9,1.1,1.4,1.2,-0.3354838709677419,-5.199999999999999,Minor (≤1 week)
27,Abdel Nader,2021-02-07,ankle_region,pain_discomfort,left,sore left ankle,Forward,225.0,77.0,11.2,27.0,9,1.5,1.2,17.619999999999997,14.3,8.8,0.4,1.2,3.0,1.0,3.1,6.5,1.4,1.8,1.2,-0.21678321678321688,-3.1000000000000014,Moderate (1-2 weeks)
28,Abdel Nader,2021-03-15,knee_general,pain_discomfort,right,sore right knee,Forward,225.0,77.0,6.0,27.0,3,1.5,4.9,16.491666666666667,12.2,6.6,0.6,0.7,2.5,0.6,2.4,4.7,1.2,1.4,0.6,-0.5081967213114754,-6.199999999999999,Minor (≤1 week)
30,Admiral Schofield,2022-10-03,knee_general,pain_discomfort,left,sore left knee,Forward,241.0,77.0,7.0,26.0,25,2.2,-7.7,17.986666666666665,9.2,5.7,0.0,0.9,3.5,0.8,2.0,5.3,0.5,0.6,1.2,-0.23913043478260865,-2.1999999999999993,Significant (2-4 weeks)
31,Adreian Payne,2017-02-03,internal_organs,blood_disorder,unspecified,thrombocytopenia,Forward,237.0,82.0,9.5,26.0,50,2.0,-2.0,8.96,7.5,4.8,0.5,0.4,1.8,0.7,1.7,3.8,1.2,1.5,0.2,0.26666666666666666,2.0,Major (1-3 months)
32,Al Harrington,2012-04-22,knee_general,injury,right,right knee injury,Forward,245.5,81.0,10.3,32.0,3,2.6,2.2,25.523333333333333,22.3,13.7,1.2,1.1,4.1,1.6,5.0,11.6,1.2,1.4,2.5,-0.5381165919282511,-12.0,Minor (≤1 week)
33,Al Harrington,2013-11-16,knee_general,pain_discomfort,right,sore right knee,Forward,245.0,81.0,8.8,34.0,99,2.2,-7.3,16.281666666666666,9.2,6.8,0.4,1.0,1.6,1.0,2.3,6.7,0.7,0.9,1.5,-0.043478260869565064,-0.3999999999999986,Severe (>3 months)
34,Al Harrington,2013-11-19,knee_general,pain_discomfort,right,sore right knee,Forward,245.0,81.0,8.8,34.0,96,2.2,-7.3,16.281666666666666,9.2,6.8,0.4,1.0,1.6,1.0,2.3,6.7,0.7,0.9,1.5,-0.043478260869565064,-0.3999999999999986,Severe (>3 months)
35,Al Harrington,2013-11-23,knee_general,pain_discomfort,right,sore right knee,Forward,245.0,81.0,8.8,34.0,92,2.2,-7.3,16.281666666666666,9.2,6.8,0.4,1.0,1.6,1.0,2.3,6.7,0.7,0.9,1.5,-0.043478260869565064,-0.3999999999999986,Severe (>3 months)
36,Al Harrington,2013-11-26,knee_general,pain_discomfort,right,sore right knee,Forward,245.0,81.0,8.8,34.0,89,2.2,-7.3,16.281666666666666,9.2,6.8,0.4,1.0,1.6,1.0,2.3,6.7,0.7,0.9,1.5,-0.043478260869565064,-0.3999999999999986,Major (1-3 months)
37,Al Harrington,2013-11-30,knee_general,pain_discomfort,right,sore right knee,Forward,245.0,81.0,8.8,34.0,85,2.2,-7.3,16.281666666666666,9.2,6.8,0.4,1.0,1.6,1.0,2.3,6.7,0.7,0.9,1.5,-0.043478260869565064,-0.3999999999999986,Major (1-3 months)
38,Al Harrington,2013-12-06,knee_general,pain_discomfort,right,sore right knee,Forward,245.0,81.0,8.8,34.0,79,2.2,-7.3,16.281666666666666,9.2,6.8,0.4,1.0,1.6,1.0,2.3,6.7,0.7,0.9,1.5,-0.043478260869565064,-0.3999999999999986,Major (1-3 months)
39,Al Horford,2013-01-18,upper_leg,injury,left,left hamstring injury,Center-Forward,250.0,82.0,34.4,27.0,1,2.0,-3.3,36.14333333333333,29.6,14.6,0.9,3.0,9.5,2.1,7.0,13.5,0.6,1.0,0.0,0.16216216216216206,4.799999999999997,Minor (≤1 week)
40,Al Horford,2013-01-23,upper_leg,pain_discomfort,left,sore left calf / hamstring,Center-Forward,250.0,82.0,37.3,27.0,2,2.6,-2.5,36.5,29.2,14.5,1.0,3.1,10.4,2.6,6.7,13.3,1.1,1.9,0.0,0.27739726027397255,8.099999999999998,Minor (≤1 week)
41,Al Horford,2013-04-06,upper_leg,injury,unspecified,hamstring injury,Center-Forward,250.0,82.0,37.2,27.0,4,1.8,-2.4,37.98166666666667,37.7,18.5,1.6,3.0,10.4,1.6,8.2,16.4,2.1,2.5,0.0,-0.01326259946949602,-0.5,Minor (≤1 week)
42,Al Horford,2013-04-16,shoulder_region,injury,unspecified,sore chest / shoulder injury,Center-Forward,250.0,82.0,34.3,28.0,197,2.0,-1.8,37.14,36.9,18.1,1.3,3.3,10.8,1.9,8.0,15.9,2.1,2.2,0.0,-0.0704607046070461,-2.6000000000000014,Severe (>3 months)
43,Al Horford,2013-04-17,shoulder_region,injury,unspecified,shoulder injury,Center-Forward,250.0,82.0,34.3,28.0,196,2.0,-1.8,37.14,36.9,18.1,1.3,3.3,10.8,1.9,8.0,15.9,2.1,2.2,0.0,-0.0704607046070461,-2.6000000000000014,Severe (>3 months)
44,Al Horford,2013-12-27,spine_torso,strain_sprain_tear,right,torn right pectoral muscle,Center-Forward,250.0,82.0,27.4,29.0,306,2.2,4.4,33.555,37.5,21.4,0.6,3.0,9.3,2.0,9.4,15.9,2.3,3.1,0.3,-0.26933333333333337,-10.100000000000001,Severe (>3 months)
45,Al Horford,2017-01-27,hip_pelvis,injury,unspecified,groin injury,Center-Forward,245.0,82.0,24.3,31.0,3,2.3,1.5,34.17833333333333,34.4,15.3,0.8,5.7,7.1,1.4,6.0,13.2,1.4,1.9,1.9,-0.29360465116279066,-10.099999999999998,Minor (≤1 week)
46,Al Horford,2018-01-06,knee_general,injury,left,sore left calf / knee injury,Center-Forward,245.0,82.0,33.3,32.0,5,2.1,1.5,31.65833333333333,27.4,10.9,0.7,4.9,7.9,1.9,4.7,10.1,0.3,1.0,1.2,0.21532846715328463,5.899999999999999,Minor (≤1 week)
47,Al Horford,2018-01-24,head_region,impact_injury,unspecified,concussion,Center-Forward,245.0,82.0,27.6,32.0,3,2.3,5.0,33.155,30.0,12.0,0.7,4.9,8.1,2.0,4.9,9.8,0.5,0.9,1.7,-0.07999999999999995,-2.3999999999999986,Minor (≤1 week)
48,Al Horford,2018-03-28,ankle_region,injury,unspecified,ankle injury,Center-Forward,245.0,82.0,28.4,32.0,3,1.6,8.1,29.701666666666664,24.5,11.8,0.3,4.5,5.9,1.7,4.8,10.5,1.1,1.3,1.1,0.1591836734693877,3.8999999999999986,Minor (≤1 week)
49,Al Horford,2018-12-08,knee_general,pain_discomfort,left,sore left knee,Center-Forward,245.0,82.0,26.7,33.0,15,1.8,1.8,30.09166666666667,27.8,12.9,0.9,2.8,6.8,1.3,5.4,10.2,0.9,1.2,1.2,-0.03956834532374106,-1.1000000000000014,Significant (2-4 weeks)
50,Al Horford,2019-03-22,knee_general,pain_discomfort,left,sore left knee,Center-Forward,243.0,81.6,35.2,33.0,4,1.9,5.8,29.198333333333334,32.1,14.6,0.8,4.4,5.9,1.4,5.8,9.8,2.0,2.4,1.0,0.09657320872274147,3.1000000000000014,Minor (≤1 week)
51,Al Horford,2019-04-08,knee_general,pain_discomfort,left,sore left knee,Center-Forward,240.0,81.0,31.1,34.0,198,1.5,6.8,30.89166666666667,36.4,17.0,0.8,5.0,6.8,1.4,6.9,12.2,2.1,2.6,1.1,-0.14560439560439553,-5.299999999999997,Severe (>3 months)
52,Al Horford,2019-12-12,knee_general,pain_discomfort,left,sore left knee,Center-Forward,240.0,81.0,21.2,34.0,3,1.8,7.4,30.19166666666667,31.2,13.0,1.0,3.7,6.6,1.2,5.4,9.6,0.7,0.8,1.5,-0.32051282051282054,-10.0,Minor (≤1 week)
53,Al Horford,2020-08-11,knee_general,pain_discomfort,left,sore left knee,Center-Forward,240.0,81.0,22.2,34.0,1,2.1,4.3,30.07833333333333,29.9,13.7,0.3,4.5,8.4,2.1,5.3,10.2,1.6,1.7,1.5,-0.25752508361204013,-7.699999999999999,Minor (≤1 week)
54,Al Horford,2023-03-06,spine_torso,injury,lower,lower back injury,Center-Forward,240.0,81.0,25.8,37.0,2,2.3,2.3,32.75833333333333,27.6,11.7,0.2,3.0,7.4,0.7,4.1,8.1,0.4,0.5,3.1,-0.06521739130434785,-1.8000000000000007,Minor (≤1 week)
55,Al Horford,2023-03-18,spine_torso,injury,lower,lower back injury,Center-Forward,240.0,81.0,20.2,37.0,3,2.0,0.5,31.89833333333333,32.6,12.8,0.5,4.1,5.9,0.3,4.6,8.2,0.2,0.3,3.4,-0.3803680981595092,-12.400000000000002,Minor (≤1 week)
56,Al Horford,2024-03-28,foot_toe,strain_sprain_tear,left,sprained left big toe,Center-Forward,240.0,81.0,22.166666666666668,38.0,2,1.7,8.4,28.181666666666665,26.1,11.2,0.9,2.3,5.7,0.9,4.1,7.6,0.8,0.8,2.2,-0.15070242656449553,-3.9333333333333336,Minor (≤1 week)
57,Al Jefferson,2011-12-30,ankle_region,strain_sprain_tear,right,sprained right ankle,Center,289.0,82.0,32.1,27.0,1,2.6,-4.0,32.498333333333335,25.8,13.5,0.6,3.1,9.9,1.3,5.9,14.4,1.7,2.7,0.0,0.24418604651162792,6.300000000000001,Minor (≤1 week)
58,Al Jefferson,2012-01-25,skin_tissue,inflammation,unspecified,right ankle inflammation,Center,289.0,82.0,30.5,27.0,2,2.2,6.8,34.07,32.4,19.0,1.1,1.6,10.0,1.2,7.8,16.3,3.4,4.5,0.0,-0.05864197530864194,-1.8999999999999986,Minor (≤1 week)
59,Al Jefferson,2012-01-30,skin_tissue,inflammation,unspecified,right ankle inflammation,Center,289.0,82.0,35.1,27.0,2,2.1,3.8,33.30333333333333,29.3,17.5,0.8,2.1,9.3,1.4,7.3,16.0,2.9,3.6,0.0,0.19795221843003416,5.800000000000001,Minor (≤1 week)
60,Al Jefferson,2012-12-07,spine_torso,muscle_issue,unspecified,back spasms,Center,289.0,82.0,26.3,28.0,2,2.4,3.0,33.725,35.0,19.8,1.0,1.9,9.9,1.3,8.6,16.5,2.6,3.2,0.0,-0.24857142857142855,-8.7,Minor (≤1 week)
61,Al Jefferson,2013-03-01,ankle_region,strain_sprain_tear,left,sprained left ankle,Center,289.0,82.0,23.4,28.0,7,1.5,-2.3,33.57333333333333,34.6,20.6,1.1,2.0,8.8,1.6,9.3,17.2,2.0,3.4,0.0,-0.323699421965318,-11.200000000000003,Minor (≤1 week)
62,Al Jefferson,2013-03-04,ankle_region,strain_sprain_tear,left,sprained left ankle,Center,289.0,82.0,23.4,28.0,4,1.5,-2.3,33.57333333333333,34.6,20.6,1.1,2.0,8.8,1.6,9.3,17.2,2.0,3.4,0.0,-0.323699421965318,-11.200000000000003,Minor (≤1 week)
63,Al Jefferson,2014-04-28,foot_plantar_fascia,strain_sprain_tear,left,strained plantar fascia in left foot,Center,289.0,82.0,28.6,30.0,184,2.2,3.1,38.455,40.4,23.5,0.9,1.9,13.3,1.9,10.2,19.3,3.1,4.2,0.0,-0.292079207920792,-11.799999999999997,Severe (>3 months)
64,Al Jefferson,2014-12-31,upper_leg,strain_sprain_tear,left,strained adductor muscle in left groin,Center,289.0,82.0,28.1,30.0,19,2.3,-3.5,29.361666666666668,27.0,14.7,0.5,2.1,8.5,1.2,6.9,13.5,0.9,1.2,0.0,0.04074074074074079,1.1000000000000014,Significant (2-4 weeks)
65,Al Jefferson,2015-04-04,knee_general,pain_discomfort,right,sore right knee,Center,289.0,82.0,25.7,31.0,207,2.0,-0.4,27.71666666666666,22.1,14.2,0.5,1.7,6.8,1.3,6.5,14.0,1.2,1.9,0.0,0.16289592760180985,3.599999999999998,Severe (>3 months)
66,Al Jefferson,2015-11-30,lower_leg,strain_sprain_tear,left,strained left calf,Center,289.0,82.0,14.3,31.0,26,2.4,0.1,26.095,23.4,12.9,0.9,2.1,5.9,0.7,5.6,11.9,1.7,2.8,0.0,-0.38888888888888884,-9.099999999999998,Significant (2-4 weeks)
67,Al Jefferson,2015-12-30,knee_general,strain_sprain_tear,right,torn lateral meniscus in right knee,Center,289.0,82.0,18.2,31.0,51,2.6,-1.5,23.983333333333334,20.7,12.4,0.9,1.4,5.7,0.9,5.3,11.2,1.8,3.2,0.0,-0.12077294685990339,-2.5,Major (1-3 months)
68,Al Jefferson,2017-03-27,ankle_region,strain_sprain_tear,left,sprained left ankle,Center,280.0,82.0,15.0,33.0,207,2.1,0.0,12.076666666666666,12.6,6.6,0.3,0.9,4.4,0.5,3.1,6.4,0.4,0.6,0.0,0.19047619047619052,2.4000000000000004,Severe (>3 months)
69,Al Jefferson,2017-04-08,ankle_region,strain_sprain_tear,left,sprained left ankle,Center,280.0,82.0,15.0,33.0,195,2.1,0.0,12.076666666666666,12.6,6.6,0.3,0.9,4.4,0.5,3.1,6.4,0.4,0.6,0.0,0.19047619047619052,2.4000000000000004,Severe (>3 months)
70,Al Thornton,2011-02-09,wrist_hand,other,right,dislocated right middle finger,Forward,235.0,80.0,9.2,27.0,7,1.6,-3.5,16.71333333333333,9.0,6.0,0.5,0.3,2.5,0.8,2.2,4.5,1.6,2.0,0.0,0.022222222222222143,0.1999999999999993,Minor (≤1 week)
71,Al-Farouq Aminu,2016-12-10,spine_torso,injury,unspecified,back injury,Forward,220.0,81.0,21.5,26.0,2,1.5,0.6,23.926666666666666,14.0,5.2,1.4,1.8,6.7,1.5,1.8,7.3,0.9,2.0,0.7,0.5357142857142857,7.5,Minor (≤1 week)
72,Al-Farouq Aminu,2017-02-14,knee_general,strain_sprain_tear,left,sprained left knee,Forward,220.0,81.0,17.5,26.0,12,2.0,1.1,32.598333333333336,22.9,11.2,0.9,1.8,8.2,1.7,3.6,9.2,2.1,2.3,1.9,-0.23580786026200867,-5.399999999999999,Moderate (1-2 weeks)
73,Al-Farouq Aminu,2021-02-11,knee_general,injury,right,right knee injury,Forward,220.0,80.0,13.9,30.0,6,0.7,-2.4,20.005,10.5,4.0,1.0,1.4,4.1,0.9,1.3,4.8,1.0,1.8,0.4,0.3238095238095238,3.4000000000000004,Minor (≤1 week)
74,Alan Anderson,2014-04-11,spine_torso,pain_discomfort,unspecified,sore abdominal muscle,Forward-Guard,220.0,78.0,6.7,32.0,201,1.7,1.8,23.771666666666665,10.5,7.4,0.4,0.8,2.7,1.1,2.6,5.6,1.5,2.4,0.7,-0.3619047619047619,-3.8,Severe (>3 months)
75,Alan Anderson,2014-04-13,spine_torso,pain_discomfort,unspecified,sore abdominal muscle,Forward-Guard,220.0,78.0,6.7,32.0,199,1.7,1.8,23.771666666666665,10.5,7.4,0.4,0.8,2.7,1.1,2.6,5.6,1.5,2.4,0.7,-0.3619047619047619,-3.8,Severe (>3 months)
76,Alan Anderson,2014-04-15,spine_torso,pain_discomfort,unspecified,sore abdominal muscle,Forward-Guard,220.0,78.0,6.7,32.0,197,1.7,1.8,23.771666666666665,10.5,7.4,0.4,0.8,2.7,1.1,2.6,5.6,1.5,2.4,0.7,-0.3619047619047619,-3.8,Severe (>3 months)
77,Alan Anderson,2014-04-16,spine_torso,pain_discomfort,unspecified,sore abdominal muscle,Forward-Guard,220.0,78.0,6.7,32.0,196,1.7,1.8,23.771666666666665,10.5,7.4,0.4,0.8,2.7,1.1,2.6,5.6,1.5,2.4,0.7,-0.3619047619047619,-3.8,Severe (>3 months)
78,Alan Anderson,2015-03-11,spine_torso,bruise_contusion,lower,bruised lower back,Forward-Guard,220.0,78.0,18.6,32.0,3,1.4,-1.3,26.586666666666666,17.2,9.0,0.6,1.8,2.8,0.7,3.2,6.7,1.3,1.5,1.3,0.08139534883720943,1.4000000000000021,Minor (≤1 week)
79,Alan Anderson,2015-04-04,ankle_region,strain_sprain_tear,left,sprained left ankle,Forward-Guard,220.0,78.0,10.5,33.0,326,2.6,4.6,23.291666666666664,17.4,9.6,0.8,1.3,2.8,0.7,3.6,7.3,1.5,1.7,0.9,-0.396551724137931,-6.899999999999999,Severe (>3 months)
80,Alan Anderson,2016-03-27,hip_pelvis,pain_discomfort,unspecified,sore groin,Forward-Guard,220.0,78.0,4.5,33.0,12,2.1,3.8,17.313333333333333,11.4,6.4,0.3,1.1,2.2,0.5,2.2,4.9,0.9,1.1,1.1,-0.6052631578947368,-6.9,Moderate (1-2 weeks)
81,Alan Anderson,2016-10-15,ankle_region,injury,unspecified,ankle injury,Forward-Guard,220.0,78.0,2.4,34.0,25,2.1,1.8,15.873333333333331,10.0,5.1,0.4,1.3,2.2,0.1,1.7,5.2,0.8,1.2,0.9,-0.76,-7.6,Significant (2-4 weeks)
82,Alan Williams,2018-04-05,knee_general,pain_discomfort,right,sore right knee,Forward-Center,265.0,80.0,11.75,26.0,281,2.9,-1.0,18.325,18.5,8.5,1.0,1.2,6.5,1.0,3.1,6.2,2.3,3.2,0.0,-0.36486486486486486,-6.75,Severe (>3 months)
83,Alan Williams,2018-10-17,ankle_region,injury,unspecified,ankle injury,Forward-Center,265.0,80.0,11.75,26.0,86,2.9,-1.0,18.325,18.5,8.5,1.0,1.2,6.5,1.0,3.1,6.2,2.3,3.2,0.0,-0.36486486486486486,-6.75,Major (1-3 months)
84,Alec Burks,2013-04-07,ankle_region,strain_sprain_tear,left,sprained left ankle,Guard,208.3,78.0,17.2,21.0,5,1.5,2.8,16.835,12.3,7.5,0.6,1.1,2.1,0.6,2.8,6.4,1.3,1.8,0.6,0.39837398373983723,4.899999999999999,Minor (≤1 week)
85,Alec Burks,2014-12-03,shoulder_region,injury,left,left shoulder injury,Guard,211.3,78.0,22.4,23.0,5,2.3,-4.7,33.99166666666667,20.9,13.2,0.7,3.1,5.4,2.3,4.5,11.0,3.5,4.3,0.7,0.07177033492822966,1.5,Minor (≤1 week)
86,Alec Burks,2015-12-27,lower_leg,bone_injury,left,fractured fibula in left leg,Guard,214.0,78.0,6.2,24.0,103,2.1,-2.4,24.608333333333334,14.5,12.5,0.4,1.9,3.0,1.5,4.0,10.4,3.7,5.5,0.8,-0.5724137931034483,-8.3,Severe (>3 months)
87,Alec Burks,2016-04-13,knee_general,pain_discomfort,right,sore right knee,Guard,214.0,78.0,9.2,25.0,264,1.6,-2.9,20.781666666666666,12.8,9.3,0.5,1.4,3.2,1.3,3.2,8.1,2.0,3.1,0.9,-0.2812500000000001,-3.6000000000000014,Severe (>3 months)
88,Alec Burks,2016-10-24,leg,pain_discomfort,unspecified,sore leg,Guard,214.0,78.0,9.2,25.0,70,1.6,-2.9,20.781666666666666,12.8,9.3,0.5,1.4,3.2,1.3,3.2,8.1,2.0,3.1,0.9,-0.2812500000000001,-3.6000000000000014,Major (1-3 months)
89,Alec Burks,2018-10-31,wrist_hand,injury,left,left hand injury,Guard,214.0,78.0,12.2,27.0,5,0.7,0.9,10.584999999999999,8.0,5.0,0.2,0.9,1.7,0.6,1.5,3.8,1.2,1.3,0.8,0.5249999999999999,4.199999999999999,Minor (≤1 week)
90,Alec Burks,2020-12-29,ankle_region,strain_sprain_tear,left,sprained left ankle,Guard,214.0,78.0,20.8,29.0,23,1.8,7.1,22.54,28.6,16.4,0.7,2.9,3.1,1.3,5.5,9.9,2.8,3.4,2.6,-0.27272727272727276,-7.800000000000001,Significant (2-4 weeks)
