Date,Team,Acquired,Player,Injury,Duration,Injury_Description,Injured_Area,Injury_Reason,Next_Appearance,Days_Between,Estimated_Duration_Days,Body_Part_Group,Injury_Reason_Group,Direction,Injury_Combined
2015-11-19,Bulls,,Aaron Brooks,strained left hamstring (DTD),DTD,strained left hamstring,left hamstring,strain,2015-12-05,16.0,7.0,upper_leg,strain_sprain_tear,left,upper_leg_strain_sprain_tear
2015-12-05,Bulls,,Aaron Brooks,strained left hamstring (DTD),DTD,strained left hamstring,left hamstring,strain,2016-10-24,324.0,7.0,upper_leg,strain_sprain_tear,left,upper_leg_strain_sprain_tear
2016-10-24,Pacers,,Aaron Brooks,sore knee (DTD),DTD,sore knee,knee,sore,2016-10-26,2.0,2.0,knee_region,pain_discomfort,unspecified,knee_region_pain_discomfort
2016-10-26,Pacers,,Aaron Brooks,sore knee (DTD),DTD,sore knee,knee,sore,,,,knee_region,pain_discomfort,unspecified,knee_region_pain_discomfort
2014-11-16,Magic,,Aaron Gordon,fractured left foot (DTD),DTD,fractured left foot,left foot,fracture,2015-12-08,387.0,7.0,ankle_foot,bone_injury,left,ankle_foot_bone_injury
2015-12-08,Magic,,Aaron Gordon,ankle injury (DTD),DTD,ankle injury,ankle,injury,2016-04-07,121.0,7.0,ankle_foot,injury,unspecified,ankle_foot_injury
2016-04-07,Magic,,Aaron Gordon,concussion (DTD),DTD,concussion,unknown,concussion,2017-02-08,307.0,7.0,other,impact_injury,unspecified,other_impact_injury
2017-02-08,Magic,,Aaron Gordon,bone bruise in right foot (DTD),DTD,bone bruise in right foot,right foot,bruise,2017-12-09,304.0,7.0,ankle_foot,bruise_contusion,right,ankle_foot_bruise_contusion
2017-12-09,Magic,,Aaron Gordon,concussion (DTD),DTD,concussion,unknown,concussion,2017-12-16,7.0,7.0,other,impact_injury,unspecified,other_impact_injury
2017-12-16,Magic,,Aaron Gordon,strained right calf (DTD),DTD,strained right calf,right calf,strain,2018-01-30,45.0,7.0,lower_leg,strain_sprain_tear,right,lower_leg_strain_sprain_tear
2018-01-30,Magic,,Aaron Gordon,strained left hip flexor (DTD),DTD,strained left hip flexor,left hip,strain,2018-03-09,38.0,7.0,hip_pelvis,strain_sprain_tear,left,hip_pelvis_strain_sprain_tear
2018-03-09,Magic,,Aaron Gordon,concussion (DTD),DTD,concussion,unknown,concussion,2018-04-06,28.0,7.0,other,impact_injury,unspecified,other_impact_injury
2018-04-06,Magic,,Aaron Gordon,sore right calf (DTD),DTD,sore right calf,right calf,sore,2019-01-19,288.0,7.0,lower_leg,pain_discomfort,right,lower_leg_pain_discomfort
2019-01-19,Magic,,Aaron Gordon,sore lower back (DTD),DTD,sore lower back,lower lower back,sore,2019-11-21,306.0,7.0,spine_torso,pain_discomfort,lower,spine_torso_pain_discomfort
2019-11-21,Magic,,Aaron Gordon,bruised right ankle (out indefinitely),out indefinitely,bruised right ankle,right ankle,bruise,2021-01-08,414.0,414.0,ankle_foot,bruise_contusion,right,ankle_foot_bruise_contusion
2021-01-08,Magic,,Aaron Gordon,left hamstring injury (DTD),DTD,left hamstring injury,left hamstring,injury,2021-01-24,16.0,7.0,upper_leg,injury,left,upper_leg_injury
2021-01-24,Magic,,Aaron Gordon,hip injury (DTD),DTD,hip injury,hip,injury,2021-03-12,47.0,7.0,hip_pelvis,injury,unspecified,hip_pelvis_injury
2021-03-12,Magic,,Aaron Gordon,left ankle injury (DTD),DTD,left ankle injury,left ankle,injury,2021-05-08,57.0,7.0,ankle_foot,injury,left,ankle_foot_injury
2021-05-08,Nuggets,,Aaron Gordon,right calf injury (DTD),DTD,right calf injury,right calf,injury,,,,lower_leg,injury,right,lower_leg_injury
2021-05-11,Pacers,,Aaron Holiday,right big toe injury (out for season),out for season,right big toe injury,right toe,injury,,,,ankle_foot,injury,right,ankle_foot_injury
2022-10-29,Pacers,,Aaron Nesmith,right foot injury (DTD),DTD,right foot injury,right foot,injury,2024-11-03,736.0,7.0,ankle_foot,injury,right,ankle_foot_injury
2024-11-03,Pacers,,Aaron Nesmith,sprained left ankle (DTD),DTD,sprained left ankle,left ankle,sprain,,,,ankle_foot,strain_sprain_tear,left,ankle_foot_strain_sprain_tear
2022-03-01,Thunder,,Aaron Wiggins,sprained right ankle (DTD),DTD,sprained right ankle,right ankle,sprain,,,,ankle_foot,strain_sprain_tear,right,ankle_foot_strain_sprain_tear
2020-01-14,Thunder,,Abdel Nader,sprained left ankle (DTD),DTD,sprained left ankle,left ankle,sprain,2020-12-22,343.0,7.0,ankle_foot,strain_sprain_tear,left,ankle_foot_strain_sprain_tear
2020-12-22,Suns,,Abdel Nader,concussion (DTD),DTD,concussion,unknown,concussion,2021-02-01,41.0,7.0,other,impact_injury,unspecified,other_impact_injury
2021-02-01,Suns,,Abdel Nader,ankle injury (DTD),DTD,ankle injury,ankle,injury,2021-02-07,6.0,6.0,ankle_foot,injury,unspecified,ankle_foot_injury
2021-02-07,Suns,,Abdel Nader,sore left ankle (DTD),DTD,sore left ankle,left ankle,sore,2021-03-15,36.0,7.0,ankle_foot,pain_discomfort,left,ankle_foot_pain_discomfort
2021-03-15,Suns,,Abdel Nader,sore right knee (DTD),DTD,sore right knee,right knee,sore,2021-11-21,251.0,7.0,knee_region,pain_discomfort,right,knee_region_pain_discomfort
2021-11-21,Suns,,Abdel Nader,right knee injury (DTD),DTD,right knee injury,right knee,injury,,,,knee_region,injury,right,knee_region_injury
2024-12-09,Thunder,,Adam Flagler,fractured right hand (out indefinitely),out indefinitely,fractured right hand,right hand,fracture,,,,wrist_hand,bone_injury,right,wrist_hand_bone_injury
2020-01-06,Bulls,,Adam Mokoka,right eye injury (DTD),DTD,right eye injury,right eye,injury,,,,head_region,injury,right,head_region_injury
2022-10-03,Magic,,Admiral Schofield,sore left knee (DTD),DTD,sore left knee,left knee,sore,,,,knee_region,pain_discomfort,left,knee_region_pain_discomfort
2017-02-03,Timberwolves,,Adreian Payne,thrombocytopenia (blood disorder) (DTD),blood disorder,thrombocytopenia,unknown,thrombocytopenia,,,,other,other,unspecified,other_other
2010-04-01,Knicks,,Al Harrington,left ankle injury (DNP),DNP,left ankle injury,left ankle,injury,2010-04-06,5.0,5.0,ankle_foot,injury,left,ankle_foot_injury
2010-04-06,Knicks,,Al Harrington,sprained left ankle (DNP),DNP,sprained left ankle,left ankle,sprain,2010-04-07,1.0,1.0,ankle_foot,strain_sprain_tear,left,ankle_foot_strain_sprain_tear
2010-04-07,Knicks,,Al Harrington,right shoulder injury (DNP),DNP,right shoulder injury,right shoulder,injury,2010-10-09,185.0,185.0,shoulder_region,injury,right,shoulder_region_injury
2010-10-09,Nuggets,,Al Harrington,partially torn plantar fascia in left foot (out indefinitely),out indefinitely,partially torn plantar fascia in left foot,left plantar fascia,torn,2012-04-22,561.0,561.0,ankle_foot,strain_sprain_tear,left,ankle_foot_strain_sprain_tear
2012-04-22,Nuggets,,Al Harrington,right knee injury (DNP),DNP,right knee injury,right knee,injury,2013-11-16,573.0,573.0,knee_region,injury,right,knee_region_injury
2013-11-16,Wizards,,Al Harrington,sore right knee (DTD),DTD,sore right knee,right knee,sore,2013-11-19,3.0,3.0,knee_region,pain_discomfort,right,knee_region_pain_discomfort
2013-11-19,Wizards,,Al Harrington,sore right knee (DNP),DNP,sore right knee,right knee,sore,2013-11-23,4.0,4.0,knee_region,pain_discomfort,right,knee_region_pain_discomfort
2013-11-23,Wizards,,Al Harrington,sore right knee (DNP),DNP,sore right knee,right knee,sore,2013-11-26,3.0,3.0,knee_region,pain_discomfort,right,knee_region_pain_discomfort
2013-11-26,Wizards,,Al Harrington,sore right knee (DNP),DNP,sore right knee,right knee,sore,2013-11-30,4.0,4.0,knee_region,pain_discomfort,right,knee_region_pain_discomfort
2013-11-30,Wizards,,Al Harrington,sore right knee (DNP),DNP,sore right knee,right knee,sore,2013-12-06,6.0,6.0,knee_region,pain_discomfort,right,knee_region_pain_discomfort
2013-12-06,Wizards,,Al Harrington,sore right knee (DNP),DNP,sore right knee,right knee,sore,,,,knee_region,pain_discomfort,right,knee_region_pain_discomfort
2013-01-18,Hawks,,Al Horford,left hamstring injury (DNP),DNP,left hamstring injury,left hamstring,injury,2013-01-23,5.0,5.0,upper_leg,injury,left,upper_leg_injury
2013-01-23,Hawks,,Al Horford,sore left calf (P) / hamstring (CBC) (DNP),P,sore left calf / hamstring,left hamstring,sore,2013-04-06,73.0,73.0,upper_leg,pain_discomfort,left,upper_leg_pain_discomfort
2013-04-06,Hawks,,Al Horford,hamstring injury (DTD),DTD,hamstring injury,hamstring,injury,2013-04-16,10.0,7.0,upper_leg,injury,unspecified,upper_leg_injury
2013-04-16,Hawks,,Al Horford,sore chest (P) / shoulder injury (CBC) (DNP),P,sore chest / shoulder injury,shoulder,injury,2013-04-17,1.0,1.0,shoulder_region,injury,unspecified,shoulder_region_injury
2013-04-17,Hawks,,Al Horford,shoulder injury (DNP),DNP,shoulder injury,shoulder,injury,2013-12-27,254.0,254.0,shoulder_region,injury,unspecified,shoulder_region_injury
2013-12-27,Hawks,,Al Horford,torn right pectoral muscle (out for season),out for season,torn right pectoral muscle,unknown,torn,2017-01-27,1127.0,1127.0,other,strain_sprain_tear,unspecified,other_strain_sprain_tear
2017-01-27,Celtics,,Al Horford,groin injury (DTD),DTD,groin injury,groin,injury,2018-01-06,344.0,7.0,hip_pelvis,injury,unspecified,hip_pelvis_injury
2018-01-06,Celtics,,Al Horford,sore left calf / knee injury (DTD),DTD,sore left calf / knee injury,left knee,injury,2018-01-24,18.0,7.0,knee_region,injury,left,knee_region_injury
2018-01-24,Celtics,,Al Horford,concussion (DTD),DTD,concussion,unknown,concussion,2018-03-28,63.0,7.0,other,impact_injury,unspecified,other_impact_injury
2018-03-28,Celtics,,Al Horford,ankle injury (DTD),DTD,ankle injury,ankle,injury,2018-12-08,255.0,7.0,ankle_foot,injury,unspecified,ankle_foot_injury
2018-12-08,Celtics,,Al Horford,sore left knee (DTD),DTD,sore left knee,left knee,sore,2019-03-22,104.0,7.0,knee_region,pain_discomfort,left,knee_region_pain_discomfort
2019-03-22,Celtics,,Al Horford,sore left knee (DTD),DTD,sore left knee,left knee,sore,2019-04-08,17.0,7.0,knee_region,pain_discomfort,left,knee_region_pain_discomfort
2019-04-08,Celtics,,Al Horford,sore left knee (DTD),DTD,sore left knee,left knee,sore,2019-12-12,248.0,7.0,knee_region,pain_discomfort,left,knee_region_pain_discomfort
2019-12-12,76ers,,Al Horford,sore left knee (DTD),DTD,sore left knee,left knee,sore,2020-08-11,243.0,7.0,knee_region,pain_discomfort,left,knee_region_pain_discomfort
2020-08-11,76ers,,Al Horford,sore left knee (DTD),DTD,sore left knee,left knee,sore,2023-03-06,937.0,7.0,knee_region,pain_discomfort,left,knee_region_pain_discomfort
2023-03-06,Celtics,,Al Horford,lower back injury (DTD),DTD,lower back injury,lower lower back,injury,2023-03-18,12.0,7.0,spine_torso,injury,lower,spine_torso_injury
2023-03-18,Celtics,,Al Horford,lower back injury (DTD),DTD,lower back injury,lower lower back,injury,2024-03-28,376.0,7.0,spine_torso,injury,lower,spine_torso_injury
2024-03-28,Celtics,,Al Horford,sprained left big toe (DTD),DTD,sprained left big toe,left toe,sprain,,,,ankle_foot,strain_sprain_tear,left,ankle_foot_strain_sprain_tear
2011-12-30,Jazz,,Al Jefferson,sprained right ankle (DNP),DNP,sprained right ankle,right ankle,sprain,2012-01-25,26.0,26.0,ankle_foot,strain_sprain_tear,right,ankle_foot_strain_sprain_tear
2012-01-25,Jazz,,Al Jefferson,right ankle inflammation (DNP),DNP,right ankle inflammation,right ankle,inflammation,2012-01-30,5.0,5.0,ankle_foot,inflammation,right,ankle_foot_inflammation
2012-01-30,Jazz,,Al Jefferson,right ankle inflammation (DNP),DNP,right ankle inflammation,right ankle,inflammation,2012-12-07,312.0,312.0,ankle_foot,inflammation,right,ankle_foot_inflammation
2012-12-07,Jazz,,Al Jefferson,back spasms (DNP),DNP,back spasms,back,spasms,2013-03-01,84.0,84.0,spine_torso,muscle_issue,unspecified,spine_torso_muscle_issue
2013-03-01,Jazz,,Al Jefferson,sprained left ankle (DNP),DNP,sprained left ankle,left ankle,sprain,2013-03-04,3.0,3.0,ankle_foot,strain_sprain_tear,left,ankle_foot_strain_sprain_tear
2013-03-04,Jazz,,Al Jefferson,sprained left ankle (DNP),DNP,sprained left ankle,left ankle,sprain,2014-04-28,420.0,420.0,ankle_foot,strain_sprain_tear,left,ankle_foot_strain_sprain_tear
2014-04-28,Bobcats,,Al Jefferson,strained plantar fascia in left foot (DNP),DNP,strained plantar fascia in left foot,left plantar fascia,strain,2014-12-31,247.0,247.0,ankle_foot,strain_sprain_tear,left,ankle_foot_strain_sprain_tear
2014-12-31,Hornets,,Al Jefferson,strained adductor muscle in left groin (out indefinitely),out indefinitely,strained adductor muscle in left groin,left groin,strain,2015-04-04,94.0,94.0,hip_pelvis,strain_sprain_tear,left,hip_pelvis_strain_sprain_tear
2015-04-04,Hornets,,Al Jefferson,sore right knee (out for season),out for season,sore right knee,right knee,sore,2015-11-30,240.0,240.0,knee_region,pain_discomfort,right,knee_region_pain_discomfort
2015-11-30,Hornets,,Al Jefferson,strained left calf (out indefinitely),out indefinitely,strained left calf,left calf,strain,2015-12-30,30.0,30.0,lower_leg,strain_sprain_tear,left,lower_leg_strain_sprain_tear
2015-12-30,Hornets,,Al Jefferson,torn lateral meniscus in right knee (out indefinitely),out indefinitely,torn lateral meniscus in right knee,right knee,torn,2017-03-27,453.0,453.0,knee_region,strain_sprain_tear,right,knee_region_strain_sprain_tear
2017-03-27,Pacers,,Al Jefferson,sprained left ankle (DTD),DTD,sprained left ankle,left ankle,sprain,2017-04-08,12.0,7.0,ankle_foot,strain_sprain_tear,left,ankle_foot_strain_sprain_tear
2017-04-08,Pacers,,Al Jefferson,sprained left ankle (out for season),out for season,sprained left ankle,left ankle,sprain,,,,ankle_foot,strain_sprain_tear,left,ankle_foot_strain_sprain_tear
2010-03-26,Wizards,,Al Thornton,strained right hip flexor (DNP),DNP,strained right hip flexor,right hip,strain,2010-03-27,1.0,1.0,hip_pelvis,strain_sprain_tear,right,hip_pelvis_strain_sprain_tear
2010-03-27,Wizards,,Al Thornton,strained right hip flexor (DNP),DNP,strained right hip flexor,right hip,strain,2010-03-30,3.0,3.0,hip_pelvis,strain_sprain_tear,right,hip_pelvis_strain_sprain_tear
2010-03-30,Wizards,,Al Thornton,strained right hip flexor (DNP),DNP,strained right hip flexor,right hip,strain,2010-03-31,1.0,1.0,hip_pelvis,strain_sprain_tear,right,hip_pelvis_strain_sprain_tear
2010-03-31,Wizards,,Al Thornton,strained right hip flexor (DNP),DNP,strained right hip flexor,right hip,strain,2010-04-02,2.0,2.0,hip_pelvis,strain_sprain_tear,right,hip_pelvis_strain_sprain_tear
2010-04-02,Wizards,,Al Thornton,strained right hip flexor (DNP),DNP,strained right hip flexor,right hip,strain,2010-04-04,2.0,2.0,hip_pelvis,strain_sprain_tear,right,hip_pelvis_strain_sprain_tear
2010-04-04,Wizards,,Al Thornton,strained right hip flexor (DNP),DNP,strained right hip flexor,right hip,strain,2010-04-06,2.0,2.0,hip_pelvis,strain_sprain_tear,right,hip_pelvis_strain_sprain_tear
2010-04-06,Wizards,,Al Thornton,strained right hip flexor (DNP),DNP,strained right hip flexor,right hip,strain,2011-02-09,309.0,309.0,hip_pelvis,strain_sprain_tear,right,hip_pelvis_strain_sprain_tear
2011-02-09,Wizards,,Al Thornton,dislocated right middle finger (DNP),DNP,dislocated right middle finger,right middle finger,unknown,,,,wrist_hand,other,right,wrist_hand_other
2016-12-10,Blazers,,Al-Farouq Aminu,back injury (DTD),DTD,back injury,back,injury,2017-02-14,66.0,7.0,spine_torso,injury,unspecified,spine_torso_injury
2017-02-14,Blazers,,Al-Farouq Aminu,sprained left knee (DTD),DTD,sprained left knee,left knee,sprain,2021-02-11,1458.0,7.0,knee_region,strain_sprain_tear,left,knee_region_strain_sprain_tear
2021-02-11,Magic,,Al-Farouq Aminu,right knee injury (DTD),DTD,right knee injury,right knee,injury,,,,knee_region,injury,right,knee_region_injury
2014-04-11,Nets,,Alan Anderson,sore abdominal muscle (DNP),DNP,sore abdominal muscle,unknown,sore,2014-04-13,2.0,2.0,other,pain_discomfort,unspecified,other_pain_discomfort
2014-04-13,Nets,,Alan Anderson,sore abdominal muscle (DNP),DNP,sore abdominal muscle,unknown,sore,2014-04-15,2.0,2.0,other,pain_discomfort,unspecified,other_pain_discomfort
2014-04-15,Nets,,Alan Anderson,sore abdominal muscle (DNP),DNP,sore abdominal muscle,unknown,sore,2014-04-16,1.0,1.0,other,pain_discomfort,unspecified,other_pain_discomfort
2014-04-16,Nets,,Alan Anderson,sore abdominal muscle (DNP),DNP,sore abdominal muscle,unknown,sore,2015-03-11,329.0,329.0,other,pain_discomfort,unspecified,other_pain_discomfort
2015-03-11,Nets,,Alan Anderson,bruised lower back (DTD),DTD,bruised lower back,lower lower back,bruise,2015-04-04,24.0,7.0,spine_torso,bruise_contusion,lower,spine_torso_bruise_contusion
2015-04-04,Nets,,Alan Anderson,sprained left ankle (DTD),DTD,sprained left ankle,left ankle,sprain,2016-03-27,358.0,7.0,ankle_foot,strain_sprain_tear,left,ankle_foot_strain_sprain_tear
2016-03-27,Wizards,,Alan Anderson,sore groin (DTD) (Y),DTD,sore groin,groin,sore,2016-10-15,202.0,7.0,hip_pelvis,pain_discomfort,unspecified,hip_pelvis_pain_discomfort
2016-10-15,Clippers,,Alan Anderson,ankle injury (DTD),DTD,ankle injury,ankle,injury,,,,ankle_foot,injury,unspecified,ankle_foot_injury
2018-04-05,Suns,,Alan Williams,sore right knee (out for season),out for season,sore right knee,right knee,sore,2018-10-17,195.0,195.0,knee_region,pain_discomfort,right,knee_region_pain_discomfort
2018-10-17,Nets,,Alan Williams,ankle injury (DTD),DTD,ankle injury,ankle,injury,,,,ankle_foot,injury,unspecified,ankle_foot_injury
2013-04-07,Jazz,,Alec Burks,sprained left ankle (DNP),DNP,sprained left ankle,left ankle,sprain,2014-12-03,605.0,605.0,ankle_foot,strain_sprain_tear,left,ankle_foot_strain_sprain_tear
2014-12-03,Jazz,,Alec Burks,left shoulder injury (DNP),DNP,left shoulder injury,left shoulder,injury,2015-12-27,389.0,389.0,shoulder_region,injury,left,shoulder_region_injury
2015-12-27,Jazz,,Alec Burks,fractured fibula in left leg (out indefinitely),out indefinitely,fractured fibula in left leg,left fibula,fracture,2016-04-13,108.0,108.0,lower_leg,bone_injury,left,lower_leg_bone_injury
